Company Name,,Operating as,Phone,Website,Region,Country,City,State/Province,Street address,Plant details,Number of Lines,Joint Venture Partner,,,,,,,,,,,,,
Bangkok Glass Public Co.,,BGF Kabinburi Glass,+(66) 02834-7000,http://www.bgiglass.com/?r=Site/Index,Asia,Thailand,Bangkok,,"47/1 Moo 2, Rangsit-Nakornnayok Rd., Km.7 Buengyeetho,",,1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,715-232-6500,http://www.cardinalcorp.com/,North America,US,Menomonie,WI,2200 Stokke Parkway,,1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,608-742-1966,http://www.cardinalcorp.com/,North America,US,Portage,WI,1650 Mohr Road,,1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,704-660-0900,http://www.cardinalcorp.com/,North America,US,Mooresville,NC,342 Mooresville Blvd.,,1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,580-924-2142,http://www.cardinalcorp.com/,North America,US,Durant,OK,515 Cardinal Pkwy,"Plant was repaired in Q1 2017 and is back up with added capacity, according to company officials.",1,,,,,,,,,,,,,,
Cardinal Glass Industries,,,360-242-4300,http://www.cardinalcorp.com/,North America,US,Winlock,WA,545 Avery Road W.,,1,,,,,,,,,,,,,,
Carlex Glass Company,,,615-350-7500,http://www.carlex.com/index.php,North America,US,Nashville,TN,7200 Centennial Blvd.,,1,,,,,,,,,,,,,,
Caspian Flat Glass OJSC,,,,http://www.hornglass.com/en/,Asia,Russia,Kumtorkalinsky,Dagestan Republic,,,1,,,,,,,,,,,,,,
Central Glass Co. Ltd.,,,81 5 9853-3131,http://www.cgc-jp.com/,Asia,Japan,Matsusaka,Mie,1521-2 Okuchicho,,2,,,,,,,,,,,,,,
Central Glass Co. Ltd.,,,81 7 2221-3541,http://www.cgc-jp.com/http://www.cgc-jp.com/,Asia,Japan,Sakai City,Osaka,6 Chikko-Minamimachi,,1,,,,,,,,,,,,,,
Central Glass Co. Ltd.,,,81 8 3622-5111,http://www.cgc-jp.com/http://www.cgc-jp.com/,Asia,Japan,Ube City,Yamaguchi,"5253 Okiube, Ube City, Yamaguchi 755-0001",,1,,,,,,,,,,,,,,
China Dalian Kanglida Yaohua Glass Corp.,,,+(86)4118-2500-181,http://glassofcn.com,Asia,China,Dalian,,"A3909, 27 Mingze Street",China Dalian reports 3 float lines. The precise locations of the lines have yet to be confirmed.,3,,,,,,,,,,,,,,
China Glass Holdings,,,05 15 8503-0068,http://www.chinaglassholdings.com/en/index.aspx,Asia,China,Dongtai,Jiangsu,,"As of 2018, Nippon Sheet Glass reduced shareholding in its joint ventures in China, according to company officials.",1,NSG,,,,,,,,,,,,,
China Glass Holdings Ltd. (CNG),,,86 0527 8421-2875,http://www.chinaglassholdings.com/en/index.aspx,Asia,CN,Suqian,Jiangsu,,"As of 2018, Nippon Sheet Glass reduced shareholding in its joint ventures in China, according to company officials.
",3,Nippon Sheet Glass,,,,,,,,,,,,,
China Glass Holdings Ltd. (CNG),,,86 063 1592-1731,http://www.chinaglassholdings.com/en/index.aspx,Asia,CN,Weihai,Shandong,,"As of 2018, Nippon Sheet Glass reduced shareholding in its joint ventures in China, according to company officials.
",1,Nippon Sheet Glass,,,,,,,,,,,,,
China Glass Holdings Ltd. (CNG),,,86 029 3286-5086,http://www.chinaglassholdings.com/en/index.aspx,Asia,CN,Xianyang,Shaanxi,,"As of 2018, Nippon Sheet Glass reduced shareholding in its joint ventures in China, according to company officials.
",2,Nippon Sheet Glass,,,,,,,,,,,,,
China Glass Holdings Ltd. (CNG),,,86 047 3209-3050,http://www.chinaglassholdings.com/en/index.aspx,Asia,CN,Wuhai,Inner Mongolia,,"As of 2018, Nippon Sheet Glass reduced shareholding in its joint ventures in China, according to company officials.
",2,Nippon Sheet Glass,,,,,,,,,,,,,
